,description,cocktail_id,ingredient_id
,5 ml,13,1
,6 dashes,81,1
,37 .5 ml,38,2
,50 ml,39,2
,12 .5 ml,68,3
,25 ml,49,3
,37 .5 ml,88,3
,45 ml,93,3
,50 ml,19,3
,50 ml,12,4
,2 dashes,4,5
,2 dashes,15,5
,2 dashes,20,5
,2 dashes,75,5
,3 dashes,44,5
,4 dashes,67,5
,6 dashes,81,5
,1 dash,19,5
,15 ml,29,6
,1,29,7
,1,87,8
,25 ml,78,9
,37 .5 ml,23,9
,30 ml,73,10
,12 .5 ml,20,11
,20 ml,94,12
,5 ml,84,12
,5 ml,90,12
,1,52,13
,1,9,13
,6,87,13
,8,84,13
,50 ml,4,16
,50 ml,15,16
,50 ml,27,16
,50 ml,89,16
,25 ml,67,17
,37 .5 ml,32,17
,50 ml,80,17
,1 .5 bar spoon,11,18
,1 teaspoon,6,18
,50 ml,6,19
,25 ml,82,20
,25 ml,18,20
,37 .5 ml,25,21
,37 .5 ml,33,21
,2 spoons,70,22
,25 ml,21,23
,1,83,24
,100 ml,67,24
,100 ml,37,24
,100 ml,76,24
,80 ml,41,24
,1 splash,33,24
,1 splash,85,24
,12 .5 ml,20,25
,1,7,26
,1,81,27
,25 ml,47,28
,25 ml,8,28
,1,7,29
,10 ml,46,30
,20 ml,96,30
,25 ml,7,30
,25 ml,31,30
,30 ml,73,30
,37 .5 ml,88,30
,25 ml,49,31
,37 .5 ml,66,31
,100 ml,12,32
,1 splash,16,32
,20 ml,59,33
,25 ml,64,33
,30 ml,5,33
,37 .5 ml,90,33
,50 ml,53,33
,90 ml,40,33
,15 ml,7,34
,25 ml,88,34
,25 ml,8,34
,20 ml,32,36
,12 .5 ml,55,37
,20 ml,41,37
,20 ml,87,38
,20 ml,17,40
,25 ml,81,40
,50 ml,11,40
,50 ml,34,40
,50 ml,47,40
,50 ml,75,40
,1 splash,17,41
,25 ml,54,42
,25 ml,98,44
,20 ml,45,45
,10 ml,2,46
,10 ml,63,46
,10 ml,15,46
,10 ml,39,46
,12 .5 ml,61,46
,1,25,47
,12 .5 ml,89,47
,1 dash,19,47
,1 dash,66,47
,1 splash,28,47
,1 splash,36,47
,12 .5 ml,74,48
,25 ml,81,49
,15 ml,16,50
,25 ml,18,50
,25 ml,44,50
,37 .5 ml,20,50
,37 .5 ml,51,50
,37 .5 ml,86,50
,37 .5 ml,91,50
,45 ml,56,50
,50 ml,2,50
,50 ml,9,50
,50 ml,28,50
,50 ml,30,50
,50 ml,54,50
,50 ml,61,50
,50 ml,71,50
,50 ml,77,50
,50 ml,99,50
,60 ml,63,50
,60 ml,72,50
,1,55,51
,1 splash,11,51
,1 splash,24,51
,Top-Up,87,51
,Top-Up,84,51
,125 ml,81,52
,Bar spoon,26,54
,2 dashes,99,55
,12 .5 ml,69,56
,37 .5 ml,45,56
,37 .5 ml,53,56
,10 ml,79,57
,1,45,58
,1,32,59
,1 tablespoon,73,60
,10 ml,75,60
,15 ml,62,60
,15 ml,93,60
,25 ml,76,60
,1 dash,60,60
,1 splash,39,60
,10 ml,46,61
,30 ml,96,61
,12 .5 ml,22,62
,50 ml,26,63
,1,79,64
,50 ml,97,65
,12 .5 ml,84,66
,12 .5 ml,79,66
,15 ml,33,66
,15 ml,54,66
,20 ml,56,66
,20 ml,66,66
,25 ml,19,66
,25 ml,27,66
,25 ml,28,66
,25 ml,71,66
,25 ml,74,66
,25 ml,83,66
,25 ml,86,66
,25 ml,89,66
,25 ml,9,66
,25 ml,51,66
,25 ml,20,66
,25 ml,43,66
,25 ml,64,66
,25 ml,100,66
,25 ml,16,66
,25 ml,14,66
,25ml,30,66
,37 .5 ml,25,66
,1,82,67
,1,13,67
,1,30,68
,1,57,69
,1,51,69
,1,80,69
,1,43,70
,1,89,71
,1,19,71
,20 ml,17,72
,25 ml,34,72
,37 .5 ml,95,72
,37 .5 ml,100,72
,50 ml,70,72
,å_,57,73
,10 ml,72,74
,10 ml,50,75
,12 .5 ml,79,75
,12 .5 ml,55,75
,12 .5 ml,58,75
,12 .5 ml,69,75
,12 .5 ml,95,75
,12 .5 ml,90,75
,15 ml,54,75
,20 ml,34,75
,20 ml,17,75
,25 ml,52,75
,25 ml,70,75
,25 ml,77,75
,25 ml,99,75
,25 ml,3,75
,25 ml,10,75
,25 ml,23,75
,25 ml,36,75
,25 ml,65,75
,25 ml,87,75
,25 ml,94,75
,25 ml,1,75
,30 ml,75,75
,30 ml,85,75
,50 ml,81,75
,1,53,77
,1,6,78
,1,58,78
,1,27,79
,1,80,79
,1,61,79
,1,69,79
,1 dash,95,79
,10 ml,69,79
,25 ml,97,80
,15 ml,7,81
