cocktail_id,description,ingredient_id
1,25 ml,75
1,8,82
1,2,83
1,12 ½ ml,130
1,50 ml,144
2,10 ml,46
2,50 ml,50
2,1,70
3,1 ½ bar spoons ,128
3,25 ml,75
3,1,77
3,50 ml,144
4,2 dashes,5
4,50 ml,16
4,1 dash,84
4,1,89
4,1 bar spoon,128
5,37 ½ ml,142
5,30 ml,33
5,½,66
5,12 ½ ml,130
5,12 ½ ml,138
6,1 teaspoon,18
6,50 ml,19
6,½,75
6,1,78
7,1,26
7,1,29
7,25 ml,30
7,15 ml,34
7,15 ml,81
7,37 ½ ml,141
8,25 ml,28
8,25 ml,34
8,100 ml,103
8,1,104
8,1 pinch,120
8,50 ml,144
9,1,13
9,10 ml,38
9,50 ml,50
9,25 ml,66
9,12 ½ ml,130
10,25 ml,75
10,1,120
10,12 ½ ml,123
10,37 ½ ml,134
10,12 ½ ml,138
11,1 ½ bar spoon,18
11,50 ml,40
11,1 splash,51
11,4,76
11,1,78
12,50 ml,4
12,100 ml,32
12,8,78
13,5 ml,1
13,1,67
13,3 dashes,102
13,50 ml,119
13,1,129
14,3,39
14,25 ml,66
14,10 dashes,100
14,37 ½ ml,101
14,1 splash,115
14,10 dashes,120
14,15 ml,133
14,10 dashes,135
14,35 ml,136
14,6 splashes,145
15,2 dashes,5
15,50 ml,16
15,10 ml,46
15,1,89
15,10 ml,133
16,1 splash,32
16,15 ml,50
16,30 ml,53
16,25 ml,66
16,15 ml,134
16,15 ml,138
16,15 ml,141
16,15 ml,144
17,20 ml,40
17,1 splash,41
17,20 ml,72
17,20 ml,75
17,1,83
17,1,91
17,10 ml,94
17,20 ml,138
18,25 ml,20
18,25 ml,50
18,1,89
18,25 ml,132
19,50 ml,3
19,1 dash,5
19,1 dash,47
19,25 ml,66
19,1,71
19,12 ½ ml,123
20,2 dashes,5
20,12 ½ ml,11
20,12 ½ ml,25
20,37 ½ ml,50
20,25 ml,66
20,1,69
20,2 dashes,84
20,1 dash,125
21,25 ml,23
21,75 ml,103
21,3,110
21,25 ml,141
22,3,29
